Customer_ID,Satisfaction_Score,Likelihood_to_Recommend,Feedback_Comments_Encoded,Feedback_Comment,Satisfaction_Score_Normalized,Likelihood_to_Recommend_Normalized,Recommendation_Category,Satisfaction_Category
271,1.0,3,0,Unsatisfactory,0.0,0.2222222222222222,Low,Dissatisfied
272,4.0,10,3,Needs improvement,0.3333333333333333,1.0,High,Neutral
273,10.0,7,2,Excellent,1.0,0.6666666666666665,Medium,Satisfied
274,4.0,5,0,Needs improvement,0.3333333333333333,0.4444444444444445,Medium,Neutral
275,5.0,8,3,Good service,0.4444444444444445,0.7777777777777777,High,Neutral
276,10.0,5,1,Excellent,1.0,0.4444444444444445,Medium,Satisfied
277,1.0,4,1,Unsatisfactory,0.0,0.3333333333333333,Low,Dissatisfied
278,7.0,3,1,Good service,0.6666666666666665,0.2222222222222222,Low,Satisfied
279,2.0,2,1,Unsatisfactory,0.1111111111111111,0.1111111111111111,Low,Dissatisfied
280,2.0,3,3,Unsatisfactory,0.1111111111111111,0.2222222222222222,Low,Dissatisfied
281,8.0,7,2,Very satisfied,0.7777777777777777,0.6666666666666665,Medium,Satisfied
282,9.0,8,4,Very satisfied,0.8888888888888888,0.7777777777777777,High,Satisfied
283,6.0,5,3,Good service,0.5555555555555556,0.4444444444444445,Medium,Neutral
284,1.0,1,1,Unsatisfactory,0.0,0.0,Low,Dissatisfied
285,1.0,3,0,Unsatisfactory,0.0,0.2222222222222222,Low,Dissatisfied
286,7.0,4,0,Good service,0.6666666666666665,0.3333333333333333,Low,Satisfied
287,8.0,10,0,Very satisfied,0.7777777777777777,1.0,High,Satisfied
288,3.0,4,3,Needs improvement,0.2222222222222222,0.3333333333333333,Low,Dissatisfied
289,9.0,1,1,Very satisfied,0.8888888888888888,0.0,Low,Satisfied
290,4.0,10,2,Needs improvement,0.3333333333333333,1.0,High,Neutral
291,4.0,9,1,Needs improvement,0.3333333333333333,0.8888888888888888,High,Neutral
292,3.0,10,1,Needs improvement,0.2222222222222222,1.0,High,Dissatisfied
293,8.0,4,2,Very satisfied,0.7777777777777777,0.3333333333333333,Low,Satisfied
294,9.0,2,4,Very satisfied,0.8888888888888888,0.1111111111111111,Low,Satisfied
295,1.0,9,0,Unsatisfactory,0.0,0.8888888888888888,High,Dissatisfied
296,2.0,4,0,Unsatisfactory,0.1111111111111111,0.3333333333333333,Low,Dissatisfied
297,1.0,4,1,Unsatisfactory,0.0,0.3333333333333333,Low,Dissatisfied
298,4.0,6,2,Needs improvement,0.3333333333333333,0.5555555555555556,Medium,Neutral
299,10.0,8,1,Excellent,1.0,0.7777777777777777,High,Satisfied
300,7.0,5,3,Good service,0.6666666666666665,0.4444444444444445,Medium,Satisfied
301,7.0,8,2,Good service,0.6666666666666665,0.7777777777777777,High,Satisfied
302,6.0,1,1,Good service,0.5555555555555556,0.0,Low,Neutral
303,5.0,4,1,Good service,0.4444444444444445,0.3333333333333333,Low,Neutral
304,4.0,1,1,Needs improvement,0.3333333333333333,0.0,Low,Neutral
305,8.0,3,0,Very satisfied,0.7777777777777777,0.2222222222222222,Low,Satisfied
306,7.0,7,4,Good service,0.6666666666666665,0.6666666666666665,Medium,Satisfied
307,10.0,1,4,Excellent,1.0,0.0,Low,Satisfied
308,1.0,5,3,Unsatisfactory,0.0,0.4444444444444445,Medium,Dissatisfied
309,6.0,1,3,Good service,0.5555555555555556,0.0,Low,Neutral
310,2.0,6,3,Unsatisfactory,0.1111111111111111,0.5555555555555556,Medium,Dissatisfied
311,4.0,9,2,Needs improvement,0.3333333333333333,0.8888888888888888,High,Neutral
312,5.0,3,2,Good service,0.4444444444444445,0.2222222222222222,Low,Neutral
313,8.0,6,2,Very satisfied,0.7777777777777777,0.5555555555555556,Medium,Satisfied
314,6.0,4,4,Good service,0.5555555555555556,0.3333333333333333,Low,Neutral
315,2.0,6,2,Unsatisfactory,0.1111111111111111,0.5555555555555556,Medium,Dissatisfied
316,5.0,2,4,Good service,0.4444444444444445,0.1111111111111111,Low,Neutral
317,5.0,4,1,Good service,0.4444444444444445,0.3333333333333333,Low,Neutral
318,6.0,7,0,Good service,0.5555555555555556,0.6666666666666665,Medium,Neutral
319,1.0,6,1,Unsatisfactory,0.0,0.5555555555555556,Medium,Dissatisfied
320,8.0,9,0,Very satisfied,0.7777777777777777,0.8888888888888888,High,Satisfied
321,3.0,7,1,Needs improvement,0.2222222222222222,0.6666666666666665,Medium,Dissatisfied
322,5.0,1,1,Good service,0.4444444444444445,0.0,Low,Neutral
323,7.0,6,2,Good service,0.6666666666666665,0.5555555555555556,Medium,Satisfied
324,3.0,3,3,Needs improvement,0.2222222222222222,0.2222222222222222,Low,Dissatisfied
325,10.0,8,2,Excellent,1.0,0.7777777777777777,High,Satisfied
326,6.0,1,3,Good service,0.5555555555555556,0.0,Low,Neutral
327,5.0,10,4,Good service,0.4444444444444445,1.0,High,Neutral
328,7.0,2,0,Good service,0.6666666666666665,0.1111111111111111,Low,Satisfied
329,10.0,3,4,Excellent,1.0,0.2222222222222222,Low,Satisfied
330,3.0,3,3,Needs improvement,0.2222222222222222,0.2222222222222222,Low,Dissatisfied
